year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
18,7,40,25.0,28.57,56,7-40
18,14,40,22.66,15.62,128,14-40
18,63,40,25.0,50.0,24,63-40
18,70,40,49.12,42.11,57,70-40
18,84,40,63.16,42.11,19,84-40
18,91,60,33.33,25.0,36,91-60
18,105,40,60.0,60.0,30,105-40
18,112,40,38.78,39.8,98,112-40
18,119,40,40.83,41.67,120,119-40
18,126,60,41.38,42.53,87,126-60
18,140,70,32.5,29.38,160,140-70
18,147,20,34.29,30.16,315,147-20
18,147,30,51.85,47.65,405,147-30
18,147,40,32.53,24.9,249,147-40
18,147,420,47.62,38.1,42,147-420
18,147,430,79.17,79.17,24,147-430
18,147,450,58.33,62.5,24,147-450
18,147,460,63.64,36.36,11,147-460
18,147,490,14.29,7.14,14,147-490
18,147,850,35.09,24.56,57,147-850
18,154,40,30.0,25.56,90,154-40
18,161,40,15.38,23.08,26,161-40
18,170,20,24.11,24.82,141,170-20
18,182,20,37.39,44.54,238,182-20
18,196,40,29.27,34.15,41,196-40
18,203,60,39.06,35.94,64,203-60
18,217,40,26.19,40.48,42,217-40
18,231,40,44.03,46.27,134,231-40
18,238,100,16.39,18.03,61,238-100
18,245,40,37.21,48.84,43,245-40
18,280,40,35.65,38.26,230,280-40
18,287,40,55.56,44.44,18,287-40
18,308,30,24.71,18.82,85,308-30
18,315,40,33.33,8.33,24,315-40
18,336,40,36.51,30.29,241,336-40
18,336,850,7.69,7.69,13,336-850
18,350,40,55.38,56.92,65,350-40
18,364,40,21.88,18.75,32,364-40
18,413,200,17.68,14.78,379,413-200
18,422,20,36.45,34.58,107,422-20
18,427,40,27.78,50.0,18,427-40
18,434,40,26.09,23.19,138,434-40
18,441,40,40.0,26.67,15,441-40
18,469,60,48.39,41.94,62,469-60
18,476,40,35.04,16.24,117,476-40
18,485,11,25.0,31.25,48,485-11
18,490,40,38.71,38.71,31,490-40
18,497,40,25.0,25.0,96,497-40
18,602,40,32.39,30.99,71,602-40
18,609,40,28.81,23.73,59,609-40
18,623,40,7.69,7.69,13,623-40
18,637,40,15.0,27.5,40,637-40
18,658,40,37.93,45.98,87,658-40
18,700,40,38.1,38.1,63,700-40
18,714,20,71.05,63.82,304,714-20
18,714,60,67.1,63.84,307,714-60
18,721,40,26.98,29.37,126,721-40
18,735,40,32.14,17.86,28,735-40
18,777,20,43.87,37.17,269,777-20
18,840,40,26.32,15.79,19,840-40
18,870,40,31.03,32.76,58,870-40
18,882,40,16.0,16.0,25,882-40
18,896,40,44.78,40.3,67,896-40
18,903,40,33.9,42.37,59,903-40
18,903,800,42.86,42.86,7,903-800
18,910,40,30.56,44.44,108,910-40
18,980,40,40.0,26.67,30,980-40
18,994,40,56.25,37.5,16,994-40
18,1015,20,72.35,61.36,264,1015-20
18,1029,40,50.6,54.22,83,1029-40
18,1071,400,48.72,38.46,39,1071-400
18,1080,400,38.46,30.77,52,1080-400
18,1085,40,43.3,28.87,97,1085-40
18,1092,60,34.11,29.43,384,1092-60
18,1120,40,38.71,29.03,31,1120-40
18,1127,40,48.65,45.95,37,1127-40
18,1134,60,29.55,23.86,88,1134-60
18,1141,40,33.04,21.43,112,1141-40
18,1155,40,33.33,28.07,57,1155-40
18,1162,40,31.75,26.98,63,1162-40
18,1169,60,41.07,37.5,56,1169-60
18,1176,40,35.38,40.0,65,1176-40
18,1183,40,45.0,41.25,80,1183-40
18,1204,40,30.43,30.43,23,1204-40
18,1218,60,17.02,27.66,47,1218-60
18,1232,40,27.78,47.22,36,1232-40
18,1246,40,32.26,37.1,62,1246-40
18,1253,40,21.02,15.92,157,1253-40
18,1260,60,29.82,36.84,57,1260-60
18,1295,40,62.71,45.76,59,1295-40
18,1309,40,38.0,26.0,50,1309-40
18,1316,40,50.98,43.92,255,1316-40
18,1376,120,57.95,53.03,264,1376-120
18,1376,450,28.57,21.43,14,1376-450
18,1376,460,66.67,38.89,36,1376-460
18,1376,470,77.14,60.0,35,1376-470
18,1380,20,25.65,23.56,191,1380-20
18,1407,80,40.0,35.83,120,1407-80
18,1407,450,50.0,33.33,6,1407-450
18,1414,20,57.63,46.11,321,1414-20
18,1421,40,25.58,30.23,43,1421-40
18,1428,40,48.11,43.4,106,1428-40
18,1491,40,29.63,37.04,27,1491-40
18,1499,40,40.0,42.86,70,1499-40
18,1526,90,44.68,30.85,94,1526-90
18,1540,40,36.18,40.13,152,1540-40
18,1554,340,48.79,46.38,373,1554-340
18,1554,400,31.1,28.76,299,1554-400
18,1561,40,32.65,26.53,49,1561-40
18,1568,80,46.83,38.89,126,1568-80
18,1582,40,38.89,16.67,18,1582-40
18,1600,60,37.5,45.0,40,1600-60
18,1631,40,34.29,42.86,35,1631-40
18,1638,40,44.92,41.18,187,1638-40
18,1638,800,12.5,,8,1638-800
18,1645,40,38.37,50.0,86,1645-40
18,1659,40,44.44,47.86,117,1659-40
18,1666,40,41.18,23.53,17,1666-40
18,1673,60,21.21,24.24,33,1673-60
18,1694,40,30.23,31.78,129,1694-40
18,1729,40,31.08,35.14,74,1729-40
18,1736,40,12.9,22.58,31,1736-40
18,1813,40,62.3,42.62,61,1813-40
18,1855,60,34.48,27.59,29,1855-60
18,1862,140,31.02,35.71,490,1862-140
18,1883,80,41.04,33.02,212,1883-80
18,1900,60,60.2,51.79,392,1900-60
18,1939,40,31.82,31.82,22,1939-40
18,1945,60,45.9,24.59,61,1945-60
18,1945,850,34.38,18.75,32,1945-850
18,1953,60,35.46,46.81,141,1953-60
18,2009,40,44.12,41.18,102,2009-40
18,2016,120,27.03,32.43,37,2016-120
18,2058,180,56.06,60.0,330,2058-180
18,2114,120,48.78,29.27,41,2114-120
18,2128,20,19.23,34.62,26,2128-20
18,2135,60,22.73,18.18,22,2135-60
18,2142,60,15.38,23.08,13,2142-60
18,2177,20,53.79,49.82,277,2177-20
18,2198,80,68.29,58.54,41,2198-80
18,2212,40,16.67,16.67,6,2212-40
18,2217,40,54.26,55.85,188,2217-40
18,2226,40,13.33,26.67,15,2226-40
18,2233,80,39.39,34.85,66,2233-80
18,2233,400,23.3,11.65,103,2233-400
18,2240,20,25.0,28.57,28,2240-20
18,2289,180,13.91,16.89,302,2289-180
18,2289,445,50.0,33.33,12,2289-445
18,2289,540,22.25,25.21,472,2289-540
18,2289,600,31.01,32.95,258,2289-600
18,2289,720,14.45,20.23,173,2289-720
18,2296,60,54.95,54.95,222,2296-60
18,2303,120,33.7,27.41,270,2303-120
18,2310,40,50.0,54.55,22,2310-40
18,2394,60,40.62,37.5,32,2394-60
18,2415,400,33.33,11.11,27,2415-400
18,2420,40,60.1,62.44,386,2420-40
18,2422,60,67.26,49.56,113,2422-60
18,2422,850,6.67,13.33,15,2422-850
18,2436,20,51.2,39.22,334,2436-20
18,2450,20,57.96,66.01,509,2450-20
18,2478,40,25.23,42.34,111,2478-40
18,2478,800,50.0,25.0,12,2478-800
18,2485,60,41.86,41.86,43,2485-60
18,2527,40,38.89,38.89,18,2527-40
18,2534,40,50.0,55.88,34,2534-40
18,2541,60,35.9,28.21,39,2541-60
18,2562,40,40.78,43.26,282,2562-40
18,2576,60,35.42,16.67,48,2576-60
18,2583,40,48.84,39.92,258,2583-40
18,2604,20,47.69,47.22,432,2604-20
18,2605,60,47.62,39.68,63,2605-60
18,2611,80,46.56,54.16,421,2611-80
18,2618,60,32.56,27.91,43,2618-60
18,2625,40,29.27,26.83,41,2625-40
18,2632,40,20.59,26.47,34,2632-40
18,2639,40,42.86,38.78,49,2639-40
18,2646,40,42.11,39.47,38,2646-40
18,2660,60,23.53,23.53,34,2660-60
18,2695,60,33.92,35.19,395,2695-60
18,2695,280,28.72,28.38,296,2695-280
18,2695,430,30.0,,10,2695-430
18,2695,450,40.0,30.0,10,2695-450
18,2695,860,46.67,20.0,15,2695-860
18,2702,80,30.92,34.21,152,2702-80
18,2730,40,24.44,28.89,45,2730-40
18,2737,40,60.0,66.67,15,2737-40
18,2744,22,34.48,29.31,58,2744-22
18,2758,40,45.52,37.59,290,2758-40
18,2793,60,23.56,19.45,365,2793-60
18,2793,410,31.78,21.5,535,2793-410
18,2793,450,3.33,2.22,90,2793-450
18,2793,480,71.43,70.48,105,2793-480
18,2793,490,27.88,20.19,104,2793-490
18,2793,580,35.45,22.0,409,2793-580
18,2793,800,37.5,12.5,8,2793-800
18,2800,80,33.33,34.81,135,2800-80
18,2814,100,20.0,34.67,75,2814-100
18,2828,40,37.37,27.27,99,2828-40
18,2835,80,42.78,40.64,374,2835-80
18,2842,40,80.0,55.56,45,2842-40
