year,districtcode,schoolcode,droprate,totalenroll,mergecode
21,7,40,0.29,349,7-40
21,14,40,0.67,447,14-40
21,63,40,1.02,98,63-40
21,70,40,2.27,309,70-40
21,84,40,0.00,71,84-40
21,91,60,0.40,247,91-60
21,105,40,0.00,111,105-40
21,112,40,0.60,496,112-40
21,119,40,1.26,478,119-40
21,140,70,0.70,862,140-70
21,147,440,0.00,45,147-440
21,147,490,0.00,64,147-490
21,147,20,2.65,1395,147-20
21,147,450,0.00,77,147-450
21,147,30,1.12,1613,147-30
21,147,420,0.00,134,147-420
21,147,430,0.00,136,147-430
21,147,460,0.00,67,147-460
21,147,40,1.83,1150,147-40
21,154,40,1.49,402,154-40
21,161,40,0.00,79,161-40
21,2450,20,0.00,2076,2450-20
21,170,20,0.48,627,170-20
21,182,20,0.83,962,182-20
21,196,40,0.00,136,196-40
21,203,60,0.88,342,203-60
21,217,40,0.00,171,217-40
21,217,410,0.00,70,217-410
21,231,40,0.22,458,231-40
21,245,40,0.34,291,245-40
21,280,40,0.56,897,280-40
21,287,40,0.00,185,287-40
21,308,30,0.31,326,308-30
21,308,9410,14.29,14,308-9410
21,315,40,3.96,101,315-40
21,336,40,0.27,1094,336-40
21,336,850,27.78,72,336-850
21,4263,60,0.00,103,4263-60
21,350,40,0.66,304,350-40
21,364,40,0.00,167,364-40
21,413,200,1.56,1663,413-200
21,422,20,0.43,468,422-20
21,427,40,0.00,57,427-40
21,434,40,1.02,488,434-40
21,6013,20,0.21,478,6013-20
21,441,450,0.00,6,441-450
21,441,40,0.00,62,441-40
21,2240,20,3.92,102,2240-20
21,476,40,2.22,495,476-40
21,485,11,0.00,281,485-11
21,497,40,0.26,380,497-40
21,602,40,1.21,247,602-40
21,609,40,0.00,230,609-40
21,623,40,3.11,161,623-40
21,637,40,0.00,207,637-40
21,658,40,0.00,343,658-40
21,700,40,0.33,304,700-40
21,721,40,1.16,773,721-40
21,735,40,12.20,41,735-40
21,777,20,0.80,1006,777-20
21,840,40,0.00,81,840-40
21,870,40,2.13,235,870-40
21,882,40,5.19,154,882-40
21,896,40,0.00,266,896-40
21,896,400,0.00,27,896-400
21,903,40,0.00,241,903-40
21,903,9410,11.11,9,903-9410
21,910,40,0.24,417,910-40
21,980,40,0.33,299,980-40
21,994,40,0.00,96,994-40
21,1029,40,0.34,298,1029-40
21,1015,20,0.00,1077,1015-20
21,5054,20,0.95,1152,5054-20
21,1071,400,1.35,222,1071-400
21,1071,450,0.00,21,1071-450
21,1080,400,0.00,250,1080-400
21,1080,9410,0.00,9,1080-9410
21,1085,40,1.03,387,1085-40
21,1092,60,0.55,1454,1092-60
21,1120,40,0.00,102,1120-40
21,1127,40,0.00,173,1127-40
21,1134,60,0.00,379,1134-60
21,1141,40,3.46,405,1141-40
21,1155,40,0.00,292,1155-40
21,1162,40,0.32,315,1162-40
21,1169,60,0.49,203,1169-60
21,1176,40,0.00,336,1176-40
21,1183,40,0.70,427,1183-40
21,1204,40,2.80,107,1204-40
21,1218,60,0.84,238,1218-60
21,1232,40,3.86,207,1232-40
21,1246,40,0.41,243,1246-40
21,1253,40,3.15,698,1253-40
