year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
19,7,40,25.58,16.28,43,7-40
19,14,40,30.3,13.13,99,14-40
19,63,40,42.11,26.32,19,63-40
19,70,40,44.26,37.7,61,70-40
19,84,40,33.33,22.22,18,84-40
19,91,60,21.62,8.11,37,91-60
19,105,40,35.48,16.13,31,105-40
19,112,40,22.0,25.0,100,112-40
19,119,40,36.84,42.98,114,119-40
19,126,60,42.47,32.88,73,126-60
19,140,70,27.04,19.9,196,140-70
19,147,20,30.12,21.74,322,147-20
19,147,30,49.01,34.24,406,147-30
19,147,40,32.56,19.77,258,147-40
19,147,420,55.81,37.21,43,147-420
19,147,430,63.33,73.33,30,147-430
19,147,450,57.14,19.05,21,147-450
19,147,460,60.0,30.0,10,147-460
19,147,490,4.35,,23,147-490
19,147,850,29.69,18.75,64,147-850
19,154,40,21.84,11.49,87,154-40
19,161,40,32.14,32.14,28,161-40
19,170,20,33.33,17.65,153,170-20
19,182,20,40.76,43.7,238,182-20
19,196,40,33.33,22.92,48,196-40
19,203,60,36.67,28.33,60,203-60
19,217,40,30.0,26.67,30,217-40
19,217,410,26.67,13.33,15,217-410
19,231,40,41.35,53.85,104,231-40
19,238,100,21.74,13.04,69,238-100
19,245,40,20.0,17.14,35,245-40
19,280,40,39.64,36.49,222,280-40
19,287,40,48.48,30.3,33,287-40
19,308,30,20.0,16.47,85,308-30
19,315,40,25.93,11.11,27,315-40
19,336,40,37.92,26.02,269,336-40
19,350,40,62.3,36.07,61,350-40
19,364,40,24.0,36.0,25,364-40
19,413,200,16.52,11.21,339,413-200
19,422,20,31.43,20.95,105,422-20
19,427,40,52.94,35.29,17,427-40
19,434,40,31.58,27.07,133,434-40
19,441,40,25.0,33.33,12,441-40
19,469,60,49.09,36.36,55,469-60
19,476,40,25.89,15.18,112,476-40
19,485,11,25.58,32.56,43,485-11
19,490,40,46.15,34.62,26,490-40
19,497,40,33.33,26.26,99,497-40
19,602,40,36.49,16.22,74,602-40
19,609,40,40.91,34.09,44,609-40
19,623,40,25.0,16.67,24,623-40
19,637,40,42.86,21.43,42,637-40
19,658,40,43.06,43.06,72,658-40
19,700,40,24.68,12.99,77,700-40
19,714,20,67.51,58.68,317,714-20
19,714,60,63.73,60.0,295,714-60
19,721,40,16.13,16.13,124,721-40
19,735,40,30.0,20.0,30,735-40
19,777,20,44.74,27.82,266,777-20
19,840,40,60.0,,10,840-40
19,870,40,27.66,21.28,47,870-40
19,882,40,20.59,8.82,34,882-40
19,896,40,60.0,38.18,55,896-40
19,903,40,44.78,26.87,67,903-40
19,903,800,33.33,11.11,9,903-800
19,910,40,28.95,26.32,114,910-40
19,980,40,29.41,25.49,51,980-40
19,994,40,25.0,15.0,20,994-40
19,1015,20,68.93,58.21,280,1015-20
19,1029,40,43.66,45.07,71,1029-40
19,1071,400,39.19,20.27,74,1071-400
19,1080,400,41.67,35.42,48,1080-400
19,1085,40,36.78,27.59,87,1085-40
19,1092,60,37.5,27.03,344,1092-60
19,1120,40,28.0,20.0,25,1120-40
19,1127,40,45.83,22.92,48,1127-40
19,1134,60,32.1,12.35,81,1134-60
19,1141,40,25.86,21.55,116,1141-40
19,1155,40,40.43,40.43,47,1155-40
19,1162,40,31.15,11.48,61,1162-40
19,1169,60,37.7,22.95,61,1169-60
19,1176,40,31.51,46.58,73,1176-40
19,1183,40,39.58,19.79,96,1183-40
19,1204,40,30.77,26.92,26,1204-40
