year,districtcode,schoolcode,droprate,totalenroll,mergecode
18,7,40,0.00,308,7-40
18,14,40,1.94,464,14-40
18,63,40,1.35,74,63-40
18,70,40,3.07,326,70-40
18,84,40,0.00,67,84-40
18,91,60,0.57,175,91-60
18,105,40,2.56,117,105-40
18,112,40,0.72,419,112-40
18,119,40,0.21,470,119-40
18,140,70,1.66,784,140-70
18,147,440,8.33,24,147-440
18,147,490,0.00,75,147-490
18,147,20,2.63,1408,147-20
18,147,450,0.00,94,147-450
18,147,30,1.14,1661,147-30
18,147,420,0.00,161,147-420
18,147,430,0.00,129,147-430
18,147,460,2.90,69,147-460
18,147,40,2.94,1155,147-40
18,154,40,1.63,368,154-40
18,161,40,0.00,103,161-40
18,2450,20,0.09,2158,2450-20
18,170,20,1.65,668,170-20
18,170,400,0.00,12,170-400
18,182,20,0.30,986,182-20
18,196,40,0.55,181,196-40
18,203,60,0.00,375,203-60
18,217,40,4.00,150,217-40
18,217,410,2.99,67,217-410
18,231,40,0.42,472,231-40
18,245,40,0.00,264,245-40
18,280,40,2.72,918,280-40
18,287,40,0.00,190,287-40
18,308,30,0.53,376,308-30
18,308,9410,18.18,22,308-9410
18,315,40,0.00,118,315-40
18,336,40,0.67,1048,336-40
18,336,850,23.36,107,336-850
18,4263,60,1.75,114,4263-60
18,350,40,1.07,281,350-40
18,364,40,0.00,162,364-40
18,413,200,1.70,1645,413-200
18,422,20,0.67,446,422-20
18,427,40,0.00,73,427-40
18,434,40,2.73,549,434-40
18,6013,20,1.08,463,6013-20
18,6013,9401,0.00,7,6013-9401
18,441,450,0.00,9,441-450
18,441,40,0.00,67,441-40
18,2240,20,0.96,104,2240-20
18,476,40,2.36,509,476-40
18,485,11,1.55,258,485-11
18,497,40,1.30,385,497-40
18,602,40,1.91,314,602-40
18,609,40,0.88,228,609-40
18,623,40,1.96,153,623-40
18,637,40,0.00,207,637-40
18,658,40,0.00,326,658-40
18,700,40,0.00,303,700-40
18,721,40,0.81,737,721-40
18,735,40,2.21,136,735-40
