year,Low Virtual,High Virtual,Low Hybrid,High Hybrid
17,41.201555265123226,35.96527549540841,41.06112669994835,35.54294572591588
18,40.34475791346694,34.70693348707368,39.88611291088938,34.74086358373629
19,33.6749281039507,28.93387076693227,34.244815108293714,27.43545620054618
21,31.46537759493072,24.339883169039794,30.776856470177886,24.54776374189143
