year,arizona,colorado,georgia,il,wisconsin
17,2.4263065014167307,1.8874176496255337,3.0752488514034226,1.0867673589180153,1.1321742509828732
18,2.3892841092180896,1.8317024985473562,2.9015335535386493,1.032483384809891,1.1505634867507297
19,2.5358054916718933,1.6151408963585434,2.731384480169525,3.2368332656672516,1.037291346692857
21,4.000594180614092,1.5060864433754761,2.4031110358927883,2.0828734157530517,0.8384321546014757
