year,Low Virtual,Low Hybrid,High Hybrid
17,42.82510855349202,34.26626625104539,45.759998636975446
18,41.973031158176475,32.57124715639128,44.4082691498509
19,40.053896456209486,31.792785818786133,42.57090321422159
21,36.14479079497908,28.046518382633952,38.81150376639077
