year,il,indiana,wisconsin
17,33.92959608508067,36.56242169776802,38.91930061091215
18,33.03948115618316,36.23897142857143,37.88929269968811
19,32.35685429596949,34.78181344159467,31.61637348974241
21,27.16555704564645,35.578229880008784,28.349431361592295
