year,Low Black,High Black,Low Hispanic,High Hispanic,Low ED,High ED
17,39.106798688625624,31.070894824426517,38.03979763839049,32.48514651578937,46.51727907269019,24.987944355724586
18,38.16394786955487,30.70614181925845,37.60731195130738,31.652634987549693,45.14755078105252,24.45221893883041
19,36.057684389810426,28.931417620163327,35.82354279595798,29.467159918119822,43.17666191779707,22.482105440958183
21,32.696952765250415,25.759216340593678,32.605591189688376,26.190456779349624,39.526367256046875,19.03815406113153
