,schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout,year
1123,150162990250026,1297,12.9,10.6,70.5,81.7,0.8,2017
1124,150162990250027,4195,36.8,8.2,41.0,50.9,0,2017
1125,150162990250029,358,0.0,97.8,1.7,99.4,2.5,2017
1126,150162990250030,1472,20.2,11.9,35.0,86.4,0.2,2017
1127,150162990250031,1408,0.4,97.3,1.3,87.9,0.4,2017
1128,150162990250034,528,0.2,98.5,0.9,97.5,0,2017
1129,150162990250035,1191,5.5,14.6,70.4,96.1,2.3,2017
1130,150162990250036,1793,5.9,11.2,79.6,92.5,1.5,2017
1131,150162990250037,1415,10.6,26.4,43.9,82.4,1.1,2017
1132,150162990250039,638,0.6,93.7,3.9,80.1,0,2017
1133,150162990250041,1351,8.2,14.2,73.4,91.1,0.1,2017
1134,150162990250042,608,5.9,39.3,38.0,95.4,3,2017
1135,150162990250043,3267,47.3,2.6,40.1,57.1,0.6,2017
1136,150162990250044,272,9.2,59.9,26.8,95.2,2.9,2017
1137,150162990250046,1734,17.0,10.3,56.7,75.4,0,2017
1138,150162990250047,2133,27.7,20.8,35.5,54.6,0.2,2017
1139,150162990250048,1418,5.6,5.8,87.4,90.9,2.2,2017
1140,150162990250049,377,2.7,52.8,43.8,93.1,1.3,2017
1141,150162990250052,585,0.7,72.3,25.0,88.9,0.5,2017
1142,150162990250053,729,21.8,19.8,51.7,61.2,0.4,2017
1145,15016299025010C,324,0.0,98.8,0.9,88.0,1.5,2017
1146,15016299025012C,756,0.7,3.3,95.8,98.3,1.6,2017
1147,15016299025013C,365,0.0,97.5,1.6,80.8,0.5,2017
1148,15016299025015C,498,0.4,63.3,35.7,95.6,1.8,2017
1150,15016299025019C,305,0.0,99.0,0.7,96.7,0,2017
1151,15016299025020C,129,0.8,0.8,97.7,96.1,48.1,2017
1152,15016299025022C,986,4.8,5.4,87.1,83.5,0.2,2017
1153,15016299025027C,285,2.8,76.1,19.3,94.0,2.5,2017
1154,15016299025028C,1007,0.5,2.8,95.9,94.3,0.2,2017
1155,15016299025029C,631,2.5,13.3,81.9,84.8,0.3,2017
1156,15016299025030C,545,0.2,73.6,24.8,94.3,1.7,2017
1157,15016299025031C,650,1.7,10.5,86.0,92.8,0.9,2017
1158,15016299025032C,1140,0.0,95.8,3.6,87.4,0.2,2017
1159,15016299025033C,904,1.9,25.8,68.6,86.2,0.3,2017
1160,15016299025034C,1142,0.3,31.0,68.0,89.0,0.4,2017
1161,15016299025035C,943,1.0,26.2,67.4,85.3,0,2017
1162,15016299025036C,859,0.1,96.5,2.2,96.6,2.2,2017
1163,15016299025037C,705,0.0,98.2,1.4,86.5,0.1,2017
1164,15016299025038C,541,0.4,93.3,5.7,95.6,0,2017
1165,15016299025039C,585,0.0,96.8,2.7,94.5,0,2017
1166,15016299025040C,387,0.8,86.8,10.1,96.1,2.1,2017
1167,15016299025041C,636,1.6,9.3,87.7,87.6,0.9,2017
1168,15016299025042C,812,1.8,12.7,84.5,90.1,0.4,2017
1169,15016299025043C,346,2.6,44.8,46.5,86.1,0,2017
1170,15016299025044C,173,1.2,1.7,91.9,92.5,0,2017
1171,15016299025046C,394,0.0,99.2,0.5,98.5,1.5,2017
1172,15016299025049C,731,1.2,20.2,74.8,96.2,1,2017
1173,15016299025050C,397,1.0,83.6,12.6,85.1,0.4,2017
1174,15016299025051C,477,0.0,97.7,0.8,96.0,0,2017
1175,150162990250526,901,0.0,97.1,2.3,97.2,0.4,2017
1176,15016299025052C,375,0.0,97.3,1.6,92.5,0.5,2017
1177,150162990250531,554,0.4,97.5,2.2,99.5,2.5,2017
1178,150162990250533,1817,38.9,15.8,28.4,41.0,0.2,2017
1179,150162990250534,1375,3.1,18.8,76.5,93.1,0.4,2017
1180,150162990250536,250,0.4,42.8,56.0,91.2,2,2017
1181,150162990250537,1319,0.1,98.5,1.0,91.7,0.1,2017
1182,15016299025053C,460,0.2,96.7,2.4,91.5,0.5,2017
1183,150162990250543,368,0.0,99.2,0.5,96.7,0.3,2017
1184,150162990250545,732,1.8,29.1,67.5,94.4,1.5,2017
1185,15016299025054C,196,0.0,96.4,3.6,96.9,45.4,2017
1186,15016299025055C,211,0.0,97.2,2.8,99.1,33.6,2017
1187,15016299025056C,195,1.0,3.6,93.8,100.0,66.2,2017
1188,15016299025057C,172,1.7,26.2,70.9,99.4,49.4,2017
1189,15016299025058C,148,0.7,92.6,6.8,98.6,62.2,2017
1190,15016299025059C,217,0.0,99.1,0.5,99.1,44.2,2017
1191,15016299025060C,184,0.0,98.9,0.5,97.8,40.2,2017
1192,150162990250616,170,0.0,95.9,3.5,94.7,0,2017
1193,150162990250617,2937,2.4,12.5,81.5,93.2,1.4,2017
1194,15016299025061C,183,0.0,99.5,0.5,98.9,65,2017
1195,15016299025062C,197,2.0,17.3,80.7,97.5,39.6,2017
1196,15016299025063C,426,1.9,87.8,8.5,93.2,57.7,2017
1197,15016299025064C,208,1.4,33.7,62.0,98.6,45.2,2017
1198,15016299025065C,216,0.9,8.3,90.7,99.1,45.4,2017
1199,15016299025066C,126,0.0,91.3,7.9,96.8,38.1,2017
1200,15016299025067C,329,0.0,94.2,5.5,99.7,4.3,2017
1201,15016299025068C,205,8.8,33.7,52.2,87.3,55.6,2017
1202,15016299025070C,153,0.7,83.0,15.7,97.4,53.6,2017
1203,15016299025071C,122,0.0,79.5,20.5,100.0,56.6,2017
1204,15016299025072C,257,1.2,92.6,5.1,99.6,49.4,2017
1205,15016299025073C,204,0.0,98.0,1.0,99.0,28.4,2017
1206,15016299025074C,420,1.2,2.6,95.0,96.7,3.1,2017
1207,150162990250763,625,0.2,99.0,0.6,98.4,0.2,2017
1208,150162990250764,2114,29.0,22.9,28.3,43.1,0.1,2017
1210,150162990250767,1589,0.6,2.9,94.4,96.7,1.6,2017
1211,150162990250772,718,35.8,41.6,19.4,45.0,0.4,2017
1212,150162990250779,887,2.1,1.0,94.9,91.2,0.8,2017
1213,150162990250788,921,0.7,82.1,16.0,73.5,0,2017
1214,150162990250794,1069,30.1,8.3,28.7,41.5,0,2017
1215,150162990250795,292,1.4,70.5,27.1,94.5,0,2017
1216,150162990250796,978,42.9,12.7,22.2,33.2,0.1,2017
1218,15016299025079C,335,2.7,1.5,93.7,96.4,0.3,2017
1219,150162990250803,540,0.6,22.2,75.4,95.9,0,2017
1220,150162990250818,158,1.3,0.6,97.5,92.4,9.9,2017
1221,150162990250820,547,21.0,14.4,58.3,81.2,1.6,2017
1222,150162990250824,310,0.0,73.9,25.5,97.1,2.6,2017
1223,150162990250825,959,0.9,14.1,83.9,95.9,0.9,2017
1224,150162990250826,413,0.2,93.2,6.1,99.0,1.2,2017
1225,150162990250827,540,0.0,97.4,2.4,90.9,0,2017
1226,150162990250828,571,8.6,11.0,73.6,87.7,0,2017
1227,150162990250829,299,2.3,81.9,13.4,96.3,1.7,2017
1228,15016299025082C,906,19.5,6.7,54.1,80.8,0.2,2017
1229,150162990250830,339,0.9,8.6,90.6,97.9,0.6,2017
1230,150162990250831,167,0.0,95.8,3.6,98.2,7.8,2017
1231,150162990250832,196,11.2,36.7,43.4,71.4,0,2017
1232,150162990250833,1292,1.9,71.5,24.4,67.2,0,2017
1233,150162990250834,371,0.0,97.6,1.9,94.6,0,2017
1234,150162990250835,306,0.7,14.7,84.0,96.1,2,2017
1235,150162990250836,257,0.4,15.6,82.9,95.3,2.4,2017
1236,150162990250837,409,0.7,1.5,97.3,95.1,0.5,2017
1237,15016299025083C,425,0.0,99.3,0.5,94.4,0.2,2017
1238,150162990250841,289,0.0,99.3,0.3,99.7,0,2017
1240,150162990250844,299,0.0,96.3,3.3,98.3,3,2017
1241,150162990250847,379,0.0,82.8,16.9,98.7,3.4,2017
1242,150162990250848,332,8.4,44.3,43.4,90.1,0.6,2017
1243,150162990250849,330,7.9,17.3,70.9,81.2,0.9,2017
1244,15016299025084C,377,0.0,99.5,0.3,97.3,0.3,2017
1245,150162990250850,272,2.6,75.4,20.6,92.6,1.1,2017
1246,150162990250851,601,17.5,44.8,28.5,55.2,0.2,2017
1247,150162990250855,715,23.6,34.8,33.0,53.1,0,2017
1248,150162990250856,234,0.4,97.9,0.9,95.7,0.4,2017
1249,150162990250857,1151,2.2,52.5,39.3,81.1,0,2017
1250,150162990250859,1138,0.8,5.2,93.4,94.8,0.1,2017
1251,15016299025085C,620,1.8,0.3,96.9,93.4,0.5,2017
1252,150162990250860,590,0.2,95.3,3.2,84.9,0.3,2017
1253,150162990250861,861,0.8,55.6,42.4,87.0,0,2017
1254,150162990250862,245,0.0,95.9,3.7,97.1,40.8,2017
1255,150162990250863,140,0.7,97.9,0.7,90.0,0.7,2017
1256,15016299025086C,629,0.5,1.4,97.9,95.9,0.2,2017
1259,15016299025107C,612,0.7,98.0,0.8,84.5,0,2017
1351,15016299025217C,599,2.8,29.5,54.1,92.5,0,2017
1457,15016299025232C,1103,1.3,45.6,52.1,95.4,0,2017
1518,15016299025240C,665,0.5,33.8,65.1,97.3,0,2017
1568,15016299025247C,1351,0.1,99.2,0.6,92.4,0,2017
1698,150162990252912,838,0.6,6.9,91.8,96.7,0,2017
1736,15016900025201C,725,6.5,4.6,82.6,84.3,0,2017
1738,15016902025201C,277,0.4,97.1,2.2,23.5,1.7,2017
1742,160194240260001,600,82.7,1.3,15.0,34.5,1,2017
1747,160194250260001,206,99.0,1.0,0.0,25.2,0,2017
1750,160194260260003,170,78.2,1.8,17.1,41.8,0.6,2017
1752,160194270260001,1254,85.2,3.3,4.5,17.9,0.6,2017
1759,160194280260011,1789,54.9,15.0,24.4,50.9,3,2017
1770,160194290260003,217,88.9,0.0,7.4,23.0,0.5,2017
1773,160194300260001,705,84.3,0.1,14.3,32.6,2.3,2017
1779,160194320260003,277,89.5,0.4,6.5,18.1,0.4,2017
1782,170200150260001,610,92.3,0.7,4.1,40.8,2.1,2017
1787,170200180260001,227,96.9,0.4,1.3,42.7,0.9,2017
1790,170530050260001,158,97.5,0.0,1.9,5.7,0.6,2017
1792,17053006J260001,116,91.4,0.9,4.3,53.4,2.6,2017
1795,170530080260001,569,90.7,1.1,3.9,35.1,0.7,2017
1801,170530740270001,147,93.2,0.7,3.4,40.1,2.1,2017
1803,170530900170001,676,84.8,3.1,8.6,38.9,1.6,2017
1804,170532300170001,258,92.6,0.4,5.8,34.5,0.8,2017
1814,170540210260001,108,97.2,0.0,2.8,43.5,0,2017
1816,170540230260001,167,96.4,1.2,1.2,35.9,0,2017
1826,170544040160001,843,88.5,3.1,2.8,43.5,5.5,2017
1827,170640020260003,229,97.4,0.0,1.3,24.5,0,2017
1830,170640030260002,342,95.3,0.9,0.9,8.5,0.9,2017
1833,170640040260001,396,95.2,1.3,2.0,27.8,1.1,2017
1835,170640050260001,2121,65.4,12.0,7.5,25.1,0.9,2017
1836,170640050260002,1618,73.7,12.2,6.9,30.3,0.7,2017
1837,170640050260003,41,78.0,7.3,2.4,51.2,0,2017
1838,17064005026001C,53,47.2,37.7,9.4,71.7,17,2017
1859,170640070260002,137,93.4,0.7,0.0,19.7,1.5,2017
1862,170640160260009,530,93.0,0.8,2.8,31.9,0.8,2017
1867,170640190260001,149,91.9,0.7,5.4,35.6,0.7,2017
1870,170640870250001,1371,53.7,23.6,12.6,52.8,1.4,2017
1984,190220860170001,2765,71.4,2.1,6.0,7.8,0,2017
1985,190220860170002,1507,55.9,20.2,11.5,30.8,0.8,2017
1986,190220870170001,2244,44.3,10.0,30.6,44.1,1,2017
1987,190220870170002,2229,40.6,8.7,24.5,36.5,0.9,2017
1988,190220870170003,2322,59.9,4.8,18.0,25.8,0.8,2017
1989,190220870170004,1171,62.1,10.0,12.6,26.8,0.3,2017
1990,190220880160001,2005,30.4,2.2,61.7,52.6,1.1,2017
1991,190220880160002,1887,49.8,9.2,28.8,46.2,1.1,2017
2005,190220940160001,2035,30.0,1.6,59.6,47.5,0.5,2017
2006,190220990160001,2207,72.5,6.3,11.6,16.9,0.6,2017
2007,190220990160002,2653,59.3,11.3,18.6,28.4,1.6,2017
2008,190221000160001,1485,30.8,2.8,58.8,54.1,0.9,2017
2009,190221080160001,2599,63.6,5.8,18.2,18.5,0.7,2017
2021,190222000260020,2009,65.1,5.7,18.5,24.2,0.6,2017
2022,190222000260021,2100,67.7,7.4,14.1,25.5,0.6,2017
2040,190222010260001,449,64.4,7.6,20.5,35.2,0.2,2017
2044,190222020260001,484,67.6,9.3,10.1,27.5,0,2017
2048,190222030260001,2842,68.8,4.2,7.6,13.9,0.1,2017
2049,190222030260013,2738,61.1,5.7,10.9,16.8,0.1,2017
2069,190222040260001,2572,47.3,13.4,16.0,21.9,0.2,2017
2070,190222040260002,3698,58.2,5.5,6.8,7.4,0.2,2017
2071,190222040260005,2853,46.0,13.0,13.5,20.3,0.4,2017
2100,190222050260003,2732,75.2,3.3,13.7,15.2,0.9,2017
2112,200240010260005,280,95.0,1.4,1.8,27.9,0.4,2017
2115,200300070260001,199,95.0,0.0,1.0,55.3,1,2017
2118,200330100260002,577,96.7,0.2,0.7,47.5,0.3,2017
2121,200350010260003,161,95.7,1.2,0.0,50.3,1.9,2017
2124,200760010260001,153,98.0,0.0,0.7,49.7,0.7,2017
2126,200830010260001,119,97.5,0.0,0.0,50.4,0,2017
2129,200830020260001,134,78.4,9.7,0.7,54.5,0,2017
2131,200830030260001,542,84.9,4.1,2.4,57.7,2.6,2017
2135,200830040260001,359,91.4,1.7,1.7,62.4,2.8,2017
2139,200933480260001,504,97.0,0.0,0.6,38.5,3.4,2017
2146,200961000260001,154,97.4,1.3,1.3,33.8,0,2017
2150,200962000260001,127,99.2,0.0,0.0,40.2,3.1,2017
2154,200962250160001,423,95.0,0.7,0.9,42.1,1.7,2017
2155,200970010260003,149,95.3,0.0,0.0,53.7,1.2,2017
2157,200970030260001,193,95.9,1.0,2.6,40.9,0,2017
2160,200970050260001,368,95.4,0.5,1.4,50.5,2.4,2017
2168,210280990260001,233,97.0,0.9,0.0,7.7,3.9,2017
2170,210281030130001,565,95.6,0.5,1.1,51.2,3.9,2017
2172,210281680260001,519,96.1,0.4,1.7,47.6,7.1,2017
2176,210281740260001,111,96.4,0.0,0.0,43.2,0,2017
