year,mergecode,mathpass,elapass,totaltest,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,districtcode,state,year_21
18,480721500250023,1.5,5.9,135,802,8.7,67.0,16.6,80.9,3.4,173123003274,0.0,0.0,1.0,0.0,48072150025il,il,0
19,480721500250023,0.7,3.3,144,824,8.5,67.0,17.8,82.3,14.5,173123003274,0.0,0.0,1.0,0.0,48072150025il,il,0
21,480721500250023,0.9,3.7,109,578,10.0,68.2,17.0,84.4,10.5,173123003274,0.6,0.1,0.3,0.4,48072150025il,il,1
17,480721500250024,9.0,14.5,234,1385,13.6,65.8,11.1,76.5,6.9,173123003278,0.0,0.0,1.0,0.0,48072150025il,il,0
18,480721500250024,4.0,8.0,274,1357,13.0,65.6,12.4,73.7,2.5,173123003278,0.0,0.0,1.0,0.0,48072150025il,il,0
19,480721500250024,3.7,5.6,318,1229,12.2,64.6,14.2,73.0,12.1,173123003278,0.0,0.0,1.0,0.0,48072150025il,il,0
21,480721500250024,4.7,6.6,214,1203,9.9,65.5,14.5,76.4,7.5,173123003278,0.4,0.3,0.3,0.5,48072150025il,il,1
17,480721500250025,38.3,43.7,285,1251,45.4,31.0,7.0,40.8,1.5,173123003280,0.0,0.0,1.0,0.0,48072150025il,il,0
18,480721500250025,36.0,45.6,292,1226,45.2,28.8,8.0,38.6,0.4,173123003280,0.0,0.0,1.0,0.0,48072150025il,il,0
19,480721500250025,36.3,41.0,277,1268,44.3,30.7,8.3,39.7,3.8,173123003280,0.0,0.0,1.0,0.0,48072150025il,il,0
21,480721500250025,29.6,34.6,300,1349,42.0,30.5,10.6,36.2,2.1,173123003280,0.6,0.1,0.3,0.4,48072150025il,il,1
17,48072150025027C,2.2,6.5,364,597,10.7,71.9,9.7,70.2,0.4,173123006112,0.0,0.0,1.0,0.0,48072150025il,il,0
18,48072150025027C,3.4,8.6,58,610,7.7,70.7,11.3,68.2,0.0,173123006112,0.0,0.0,1.0,0.0,48072150025il,il,0
19,48072150025027C,9.4,7.5,53,573,8.2,68.4,12.6,67.4,6.9,173123006112,0.0,0.0,1.0,0.0,48072150025il,il,0
21,48072150025027C,1.9,3.8,52,529,6.4,70.1,13.2,73.0,1.9,173123006112,0.82,0.0,0.18,0.41,48072150025il,il,1
17,480722650260001,27.8,23.3,95,413,93.7,0.2,3.9,36.8,2.2,170004405230,0.0,0.0,1.0,0.0,48072265026il,il,0
18,480722650260001,24.1,26.0,104,445,94.2,0.0,3.4,36.2,1.8,170004405230,0.0,0.0,1.0,0.0,48072265026il,il,0
19,480722650260001,17.3,24.5,101,419,93.8,0.0,3.8,39.1,4.0,170004405230,0.0,0.0,1.0,0.0,48072265026il,il,0
21,480722650260001,15.7,20.0,70,364,94.2,0.0,0.0,35.4,5.7,170004405230,0.9,0.0,0.1,0.45,48072265026il,il,1
17,480723090260003,41.1,37.5,56,225,92.9,2.2,0.4,19.1,0.0,170720000375,0.0,0.0,1.0,0.0,48072309026il,il,0
18,480723090260003,50.9,47.5,59,241,95.9,0.0,0.0,19.5,0.0,170720000375,0.0,0.0,1.0,0.0,48072309026il,il,0
19,480723090260003,51.8,44.5,54,232,95.3,0.4,0.9,15.1,2.1,170720000375,0.0,0.0,1.0,0.0,48072309026il,il,0
21,480723090260003,39.3,41.1,51,215,98.6,0.0,0.0,10.7,0.9,170720000375,0.4,0.0,0.6,0.2,48072309026il,il,1
17,480723100160001,21.2,26.8,257,1015,80.7,10.4,3.4,44.3,2.6,172295002535,0.0,0.0,1.0,0.0,48072310016il,il,0
18,480723100160001,20.5,30.7,244,1009,78.0,9.9,4.5,43.8,2.2,172295002535,0.0,0.0,1.0,0.0,48072310016il,il,0
19,480723100160001,25.5,35.0,201,943,77.5,10.6,3.9,41.1,5.3,172295002535,0.0,0.0,1.0,0.0,48072310016il,il,0
21,480723100160001,14.2,24.6,183,901,76.6,10.4,5.7,40.1,6.1,172295002535,1.0,0.0,0.0,0.5,48072310016il,il,1
17,480723210260007,42.0,38.0,157,637,92.6,1.1,2.5,30.9,1.7,171997002256,0.0,0.0,1.0,0.0,48072321026il,il,0
18,480723210260007,32.3,37.0,127,622,93.6,0.0,1.9,33.8,2.7,171997002256,0.0,0.0,1.0,0.0,48072321026il,il,0
19,480723210260007,35.3,38.6,153,598,90.1,0.7,3.7,30.6,2.9,171997002256,0.0,0.0,1.0,0.0,48072321026il,il,0
21,480723210260007,30.0,34.3,140,610,88.0,0.0,4.8,33.8,3.7,171997002256,0.0,0.0,1.0,0.0,48072321026il,il,1
17,480723220260004,36.0,40.0,50,213,96.2,1.4,1.4,16.0,0.0,171405001758,0.0,0.0,1.0,0.0,48072322026il,il,0
18,480723220260004,39.7,44.9,58,233,93.6,0.0,0.0,15.9,0.4,171405001758,0.0,0.0,1.0,0.0,48072322026il,il,0
19,480723220260004,54.2,56.3,48,214,92.1,1.4,3.3,17.3,0.5,171405001758,0.0,0.0,1.0,0.0,48072322026il,il,0
21,480723220260004,38.2,38.3,34,178,94.4,0.0,0.0,13.5,5.1,171405001758,0.2,0.0,0.8,0.1,48072322026il,il,1
17,480723230260004,65.8,65.8,316,1273,74.5,6.7,3.0,6.8,0.9,171270001522,0.0,0.0,1.0,0.0,48072323026il,il,0
18,480723230260004,69.6,65.9,316,1304,72.7,6.1,3.8,10.4,0.5,171270001522,0.0,0.0,1.0,0.0,48072323026il,il,0
19,480723230260004,63.6,59.6,304,1273,70.4,6.1,3.9,12.8,1.3,171270001522,0.0,0.0,1.0,0.0,48072323026il,il,0
21,480723230260004,59.9,53.1,294,1335,67.4,5.9,3.9,12.5,2.7,171270001522,0.0,0.0,1.0,0.0,48072323026il,il,1
17,480723250260005,18.9,35.1,39,207,74.9,8.7,5.8,51.7,5.3,173127003300,0.0,0.0,1.0,0.0,48072325026il,il,0
